,latitude,longtitude
בית החולים יוספטל,29.55419795,34.94051460332848
בית החולים סורוקה,31.2582113,34.800933082673104
בית חולים מעייני הישועה,32.0847768,34.84435644889351
בית החולים הלל יפה,32.451053,34.895877558776164
"בית החולים רמב""ם",32.451053,34.895877558776164
בית החולים כרמל,32.750932,34.974635
בית החולים פוריה,32.75323,35.538361
בית החולים מאיר,32.1814228,34.89557623527575
בית החולים נהריה,33.01002235,35.116906251460605
בית חולים אנגלי,32.700926,35.292828
בית חולים לניאדו,32.34533035,34.856641943226194
בית חולים העמק,32.62190925,35.317365219271
בית החולים שניידר,32.088538,34.868576
בית החולים השרון,32.0794564,34.88145861448997
בית החולים זיו,32.954946,35.492089
בית החולים קפלן,31.8721337,34.816478224159205
בית החולים תל השומר,32.0482196,34.8406435
