,city_num
אום אל פחם,0
אופקים,1
אור יהודה,2
אור עקיבא,3
אילת,4
אלעד,5
אריאל,6
אשדוד,7
אשקלון,8
באקה אל גרביה,9
באר יעקב,10
באר שבע,11
בית שאן,12
בית שמש,13
ביתר עילית,14
בני ברק,15
בת ים,16
גבעת זאב,17
גבעת שמואל,18
גבעתיים,19
גדרה,20
גן יבנה,21
גני תקווה,22
דימונה,23
הוד השרון,24
זכרון יעקב,25
חדרה,26
חולון,27
חיפה,28
חריש,29
טבריה,30
טייבה,31
יבנה,32
יפיע,33
ירושלים,34
כפר יונה,35
כפר כנא,36
כפר סבא,37
כפר קאסם,38
כפר קרע,39
כרמיאל,40
לוד,41
מבשרת ציון,42
מגאר,43
מגדל העמק,44
מודיעין מכבים רעות,45
מודיעין עילית,46
מעלה אדומים,47
מעלות תרשיחא,48
נוף הגליל,49
נס ציונה,50
נצרת,51
נשר,52
נתיבות,53
נתניה,54
עכו,55
עפולה,56
ערד,57
ערערה,58
פתח תקווה,59
צפת,60
קדימה צורן,61
ראש העין,62
ראשון לציון,63
רחובות,64
ריינה,65
רמלה,66
רמת גן,67
רמת השרון,68
רעננה,69
שדרות,70
שוהם,71
שפרעם,72
תל אביב יפו,73
