,latitude,longtitude
אום אל פחם,32.5158385,35.152491
אופקים,31.3125831,34.6208537
אור יהודה,32.0309712,34.8523936
אור עקיבא,32.5090151,34.9195677
אילת,29.5569348,34.9497949
אלעד,32.0500659,34.9521522
אריאל,32.1060817,35.1851368
אשדוד,31.7977314,34.6529922
אשקלון,31.6644874,34.5730157
באקה אל גרביה,32.41720415,35.04090112481302
באר יעקב,31.9443532,34.8398648
באר שבע,31.2457442,34.7925181
בית שאן,32.4967519,35.4973022
בית שמש,31.746214,34.9886825
ביתר עילית,31.70185385,35.107316991919845
בני ברק,32.0873899,34.8324376
בת ים,32.0154565,34.7505283
גבעת זאב,31.86083385,35.16416458037858
גבעת שמואל,32.0769463,34.8524656
גבעתיים,32.0729606,34.8113279
גדרה,31.8117747,34.7803882
גן יבנה,31.787109,34.7096635
גני תקווה,32.0604256,34.8760954
דימונה,31.0686612,35.0366482
הוד השרון,32.1561974,34.8930354
זכרון יעקב,32.5711587,34.9529966
חדרה,32.43699,34.9198258
חולון,32.0193121,34.7804076
חורה,31.3003168,34.9332789
חיפה,32.8191218,34.9983856
חריש,32.45964,35.0510843
טבריה,32.7938522,35.5328566
טייבה,32.2628299,35.00857640690519
טירה,32.2346856,34.9544553
יבנה,31.8768863,34.7382974
יפיע,32.68388495,35.27072317222135
ירושלים,31.79592425,35.21198075969497
כפר יונה,32.314504,34.9321169
כפר כנא,32.7531278,35.33892902807964
כפר סבא,32.1773471,34.907459
כפר קאסם,32.1139357,34.9760002
כפר קרע,32.50529805,35.045471288308015
כרמיאל,32.9159104,35.293429
לוד,31.9489012,34.8884857
מבשרת ציון,31.8057198,35.152731
מגאר,38.6115892,47.4479834
מגדל העמק,32.6765744,35.2413237
מודיעין מכבים רעות,31.9085744,35.0069297
מודיעין עילית,31.9324487,35.0433428
מעלה אדומים,31.7705643,35.2987457
מעלות תרשיחא,33.0157394,35.2759666
נוף הגליל,32.7023065,35.3183216
נס ציונה,31.9295577,34.7990609
נצרת,32.7066301,35.3048161
נשר,32.7708797,35.0381249
נתיבות,31.4213546,34.5884252
נתניה,32.3286181,34.8566246
עכו,32.9281731,35.0756378
עפולה,32.6075587,35.2890861
עראבה,32.4046105,35.2033385
ערד,31.2612199,35.214581
ערערה,32.4965507,35.0955581
פתח תקווה,32.0877639,34.8859985
צפת,32.9646301,35.502451
קדימה צורן,32.281965650000004,34.91045479199278
קלנסווה,32.2848603,34.9801701
ראש העין,32.0952929,34.9533225
ראשון לציון,31.9635712,34.8101149
רהט,31.3933637,34.7546784
רחובות,31.8952532,34.8105616
ריינה,32.723612,35.312492
רמלה,31.9279988,34.8623473
רמת גן,32.0686867,34.8246812
רמת השרון,32.1431276,34.8380853
רעננה,32.1861481,34.8675905
שדרות,31.526474,34.5969696
שוהם,32.0004845,34.9465419
שפרעם,32.80072105,35.178335311107375
תל אביב יפו,32.0852997,34.7818064
