city,beds,amount,size,pricePerMeter,yearBuilt,floor,long,lat
אום אל פחם,4.4324324324324325,495598.91891891893,179.36486486486487,7024.696575999999,1990.9324324324325,0.5405405405405406,35.152234808108105,32.51664092702701
אופקים,3.9681122448979593,844812.9974489796,116.05357142857143,9286.846360421136,1993.4247448979593,1.163265306122449,34.622361883418414,31.304524755357228
אור יהודה,3.749596122778675,1616372.6268174476,88.18739903069466,19807.039472508968,1982.6607431340872,3.5735056542810986,34.8608967324804,32.028561342810896
אור עקיבא,3.980884109916368,1141082.4874551971,98.78016726403823,11878.070935784082,1999.642771804062,2.6284348864994027,34.918687421602584,32.511192427180504
אילת,3.6544401544401546,1311715.981981982,101.37580437580438,15704.884996011662,1998.4440154440153,2.2084942084942085,34.94312130808136,29.62237733809525
אלעד,3.825,1548427.1621951219,86.91829268292683,18338.423247427167,2002.1463414634147,1.9585365853658536,34.95635196065557,32.050130351951125
אריאל,4.276652452025586,1230799.634328358,108.50319829424308,11719.540320264163,1995.857142857143,1.0778251599147122,35.176232742858126,32.090991452665236
אשדוד,3.89937106918239,1702172.2150943396,139.34088050314466,17870.35190067559,1996.640251572327,5.818867924528302,34.64746794370644,31.791234515283048
אשקלון,4.070259208731241,1300076.9590723056,132.24383561643836,12541.464362139077,2007.912687585266,4.080491132332878,34.58579446208245,31.67740313130964
באקה אל גרביה,4.694444444444445,480350.0833333333,193.43055555555554,5088.2395532105265,1984.013888888889,0.37142857142857144,35.040901124813,32.41720415000004
באר יעקב,4.5142487046632125,2124319.8238341967,121.22538860103627,17590.11909422337,2013.6062176165804,7.683937823834197,34.82944697364098,31.943178033808223
באר שבע,3.769296740994854,1040653.5025728988,285.7941680960549,12009.430983137321,1988.7066895368782,3.4734133790737562,34.79488357577435,31.219366061630033
בית שאן,4.170947030497592,662441.6565008026,106.87479935794542,6566.494396162069,1986.3451043338684,1.3820224719101124,35.498456279666634,32.494322228972635
בית שמש,3.9089327146171695,1431901.9593967518,2999.5603248259863,14655.977293306063,2013.7215777262181,2.9466357308584685,34.98268088290297,31.728919246171767
ביתר עילית,4.3801775147929,1581518.24704142,108.94082840236686,14720.314764442803,2007.0576923076924,1.7100591715976332,35.110879756962355,31.69849948128695
בני ברק,3.4438073394495414,1665681.7752293579,71.04833141542002,25420.00594344938,1984.26376146789,2.4426605504587156,34.83420000745663,32.087976542889905
בת ים,3.238036809815951,1639110.3963190184,86.25675675675676,23559.46541639952,1982.483435582822,5.136196319018405,34.74803754864682,32.019294302699336
גבעת זאב,4.672348484848484,1779695.0808080807,127.36237373737374,14479.114899650194,2002.185606060606,1.5252525252525253,35.16250185714679,31.862289254798025
גבעת שמואל,4.165294117647059,2173501.4152941178,104.10365135453475,22286.298816274844,2001.38,6.504705882352941,34.860148855304374,32.068898806882174
גבעתיים,3.695677570093458,2610838.5642523365,87.73294117647059,31745.239250483806,1990.9217289719627,3.961448598130841,34.80971419429164,32.073131896383316
גדרה,4.3576598311218335,1765452.4680337757,122.93968636911941,15139.740384170695,2003.410132689988,1.482509047044632,34.78446629695679,31.81304009433055
גן יבנה,5.122247972190035,2105679.8806488994,153.57937427578216,14698.127389948895,1999.7439165701044,0.5457705677867902,34.714139767656306,31.8069295581692
גני תקווה,4.75,2541382.7663043477,124.5,21180.062475992338,2010.661956521739,7.966304347826087,34.87648089809168,32.062870390000086
דימונה,3.7938066465256797,740882.0694864049,103.77794561933534,7821.508713737359,1992.1359516616315,1.5876132930513596,35.03576301250891,31.06760776873118
הוד השרון,4.656838143036387,2648532.828105395,137.9121706398996,21125.920051845445,2003.564617314931,4.6260978670012545,34.89686435987938,32.15818482409035
זכרון יעקב,4.800791556728232,2186173.779683377,147.82562747688243,16016.32113687269,1999.1767810026386,1.1569920844327177,34.953367099900454,32.56915107750659
חדרה,4.017734553775743,1359706.1167048055,107.49427917620137,14167.11570355041,1996.7276887871853,3.780320366132723,34.92168744774774,32.44222151464532
חולון,3.6064441887226697,1663287.575373993,103.08630609896433,21954.681181082808,1985.4833141542003,3.281933256616801,34.774795247333,32.01721947008057
חיפה,3.5166666666666666,1203388.1904761905,132.16646706586826,14838.68214853193,1978.5964285714285,2.829761904761905,35.00105777860328,32.77818886148815
חריש,4.098062953995157,1064950.4273607747,102.48048780487805,10386.83141926283,2014.906779661017,3.1537530266343827,35.04830522541579,32.45852369909209
טבריה,3.6670533642691416,791715.7807424593,906.647331786543,8930.083266441115,1994.6218097447795,2.6774941995359627,35.524647557874744,32.78721988352667
טייבה,4.636363636363637,277874.54545454547,149.45454545454547,4046.959839,1991.6363636363637,1.1818181818181819,35.0085764069052,32.26282989999999
יבנה,4.627040816326531,1800101.9448979592,128.72755102040816,16031.359834860348,2007.2285714285715,4.376530612244898,34.738174441479394,31.873681537244973
יפיע,4.0,1200000.0,250.0,4800.0,2000.0,1.0,35.280255,32.693854
ירושלים,3.7963169642857144,2267665.1037946427,129.06703910614524,26002.494772214417,1993.9151785714287,3.1986607142857144,35.20651781294451,31.786300143247768
כפר יונה,4.683127572016461,1796562.7256515776,133.2462173314993,14217.01791946418,2007.3539094650205,2.6886145404663924,34.937942058161916,32.31481426406041
כפר כנא,3.8415841584158414,713828.198019802,160.33663366336634,5572.876746896553,1987.8019801980197,0.7920792079207921,35.34378689999995,32.7449001
כפר סבא,4.208222811671088,2203542.348806366,105.87400530503979,22379.10933489216,1994.4071618037135,2.736074270557029,34.911457123219506,32.178944219031884
כפר קאסם,4.0,818333.1666666666,237.41666666666666,5920.32659925,1994.1666666666667,0.0,34.972294241666674,32.11534686666668
כפר קרע,5.0,1300000.0,250.0,5200.0,2000.0,0.0,35.043269,32.505688
כרמיאל,3.9446254071661238,1081860.1129207383,96.97394136807817,11587.155605679744,1984.1042345276874,1.986970684039088,35.29008878469443,32.9096711198154
לוד,3.635869565217391,1272576.074879227,81.10640870616687,16323.389975914079,1999.463768115942,3.3357487922705316,34.89058826790424,31.94990756068838
מבשרת ציון,4.513089005235602,2441423.4332460733,129.37565445026178,19838.009870593163,1999.7342931937173,1.780104712041885,35.148928979039894,31.80104795962028
מגאר,4.2063492063492065,570295.8571428572,173.3015873015873,4909.724722038462,1988.031746031746,0.5873015873015873,36.85351351746029,33.199598819047665
